code,nom,typeLiaison,zone,arrondissement,departement,region,type,rangChefLieu,siren,codesPostaux,population,longitude,latitude,slug,anciensCodes,chefLieu,commune
06083,Menton,0.0,metro,062,06,93,commune-actuelle,0.0,210600839.0,['06500'],30326.0,7.493539095857055,43.79175796587888,menton,,,
06084,Mouans-Sartoux,0.0,metro,061,06,93,commune-actuelle,0.0,210600847.0,['06370'],10847.0,6.96433522241493,43.618736845480534,mouans-sartoux,,,
06085,Mougins,0.0,metro,061,06,93,commune-actuelle,0.0,210600854.0,['06250'],19481.0,7.001103558164305,43.59606781342526,mougins,,,
06086,Moulinet,0.0,metro,062,06,93,commune-actuelle,0.0,210600862.0,['06380'],253.0,7.413893042606144,43.95377480552285,moulinet,,,
06087,Les Mujouls,4.0,metro,061,06,93,commune-actuelle,0.0,210600870.0,['06910'],38.0,6.859233969259017,43.87164631242623,les-mujouls,,,
06088,Nice,0.0,metro,062,06,93,commune-actuelle,0.0,210600888.0,"['06000', '06100', '06200', '06300']",353701.0,7.23789624853928,43.71220825555851,nice,,,
06089,Opio,1.0,metro,061,06,93,commune-actuelle,0.0,210600896.0,['06650'],2408.0,7.008242558830475,43.657920533964166,opio,,,
06090,Pégomas,0.0,metro,061,06,93,commune-actuelle,0.0,210600904.0,['06580'],8143.0,6.921825114818574,43.587084781578206,pegomas,,,
06091,Peille,0.0,metro,062,06,93,commune-actuelle,0.0,210600912.0,['06440'],2205.0,7.411588743475439,43.80662861957594,peille,,,
06092,Peillon,0.0,metro,062,06,93,commune-actuelle,0.0,210600920.0,['06440'],1427.0,7.371969061720973,43.77287256832335,peillon,,,
06093,La Penne,3.0,metro,062,06,93,commune-actuelle,0.0,210600938.0,['06260'],256.0,6.9419484081556675,43.92506185393616,la-penne,,,
06094,Péone,0.0,metro,062,06,93,commune-actuelle,0.0,210600946.0,['06470'],1079.0,6.922605700091689,44.129061811605816,peone,,,
06095,Peymeinade,0.0,metro,061,06,93,commune-actuelle,0.0,210600953.0,['06530'],8491.0,6.881492310840346,43.630628829252615,peymeinade,,,
06096,Pierlas,0.0,metro,062,06,93,commune-actuelle,0.0,210600961.0,['06260'],99.0,7.018192674743953,44.034216731321465,pierlas,,,
06097,Pierrefeu,0.0,metro,062,06,93,commune-actuelle,0.0,210600979.0,['06910'],339.0,7.070838040804293,43.88460459715238,pierrefeu,,,
06098,Puget-Rostang,0.0,metro,062,06,93,commune-actuelle,0.0,210600987.0,['06260'],121.0,6.936259685829208,43.98626620290601,puget-rostang,,,
06099,Puget-Théniers,0.0,metro,062,06,93,commune-actuelle,0.0,210600995.0,['06260'],1803.0,6.905532304058953,43.951851431004734,puget-theniers,,,
06100,Revest-les-Roches,0.0,metro,062,06,93,commune-actuelle,0.0,210601001.0,['06830'],235.0,7.167928906610495,43.88374807661197,revest-les-roches,,,
06101,Rigaud,0.0,metro,062,06,93,commune-actuelle,0.0,210601019.0,['06260'],167.0,6.97602265151338,43.99278142805036,rigaud,,,
06102,Rimplas,0.0,metro,062,06,93,commune-actuelle,0.0,210601027.0,['06420'],154.0,7.144820071350016,44.102718036210575,rimplas,,,
06103,Roquebillière,0.0,metro,062,06,93,commune-actuelle,0.0,210601035.0,['06450'],1816.0,7.292593212806213,44.027189115943116,roquebilliere,,,
06104,Roquebrune-Cap-Martin,0.0,metro,062,06,93,commune-actuelle,0.0,210601043.0,['06190'],12419.0,7.45850877941122,43.76401292853077,roquebrune-cap-martin,,,
06105,Roquefort-les-Pins,0.0,metro,061,06,93,commune-actuelle,0.0,210601050.0,['06330'],7284.0,7.052883095593647,43.674216500206285,roquefort-les-pins,,,
06106,Roquestéron,0.0,metro,062,06,93,commune-actuelle,0.0,210601068.0,['06910'],557.0,7.024059998606233,43.867865593594246,roquesteron,,,
06107,La Roque-en-Provence,3.0,metro,061,06,93,commune-actuelle,0.0,210601076.0,['06910'],66.0,6.990475923250857,43.849298727053295,la-roque-en-provence,,,
06108,La Roquette-sur-Siagne,3.0,metro,061,06,93,commune-actuelle,0.0,210601084.0,['06550'],5552.0,6.949865913902017,43.58539722752872,la-roquette-sur-siagne,,,
06109,La Roquette-sur-Var,3.0,metro,062,06,93,commune-actuelle,0.0,210601092.0,['06670'],933.0,7.204831446908471,43.83312549995728,la-roquette-sur-var,,,
06110,Roubion,0.0,metro,062,06,93,commune-actuelle,0.0,210601100.0,['06420'],114.0,7.0282130503418,44.10776182518497,roubion,,,
06111,Roure,0.0,metro,062,06,93,commune-actuelle,0.0,210601118.0,['06420'],111.0,7.066641667805522,44.118919490657305,roure,,,
06112,Le Rouret,2.0,metro,061,06,93,commune-actuelle,0.0,210601126.0,['06650'],4198.0,7.010251317875923,43.67955426652035,le-rouret,,,
06113,Sainte-Agnès,0.0,metro,062,06,93,commune-actuelle,0.0,210601134.0,['06500'],1365.0,7.461647603537426,43.804661310728974,sainte-agnes,,,
06114,Saint-André-de-la-Roche,0.0,metro,062,06,93,commune-actuelle,0.0,210601142.0,['06730'],5877.0,7.288453717001261,43.74521291709508,saint-andre-de-la-roche,,,
06115,Saint-Antonin,0.0,metro,062,06,93,commune-actuelle,0.0,210601159.0,['06260'],84.0,6.976144772969146,43.90798803009365,saint-antonin,,,
06116,Saint-Auban,0.0,metro,061,06,93,commune-actuelle,0.0,210601167.0,['06850'],204.0,6.739849064172522,43.831027016945534,saint-auban,,,
06117,Saint-Blaise,0.0,metro,062,06,93,commune-actuelle,0.0,210601175.0,['06670'],1391.0,7.231042317943316,43.813414524503614,saint-blaise,,,
06118,Saint-Cézaire-sur-Siagne,0.0,metro,061,06,93,commune-actuelle,0.0,210601183.0,['06530'],3971.0,6.802819468382506,43.65957509013329,saint-cezaire-sur-siagne,,,
06119,Saint-Dalmas-le-Selvage,0.0,metro,062,06,93,commune-actuelle,0.0,210601191.0,['06660'],102.0,6.841347568065034,44.289996499452364,saint-dalmas-le-selvage,,,
06120,Saint-Étienne-de-Tinée,0.0,metro,062,06,93,commune-actuelle,0.0,210601209.0,['06660'],1269.0,6.924565572069976,44.24912642740406,saint-etienne-de-tinee,,,
06121,Saint-Jean-Cap-Ferrat,0.0,metro,062,06,93,commune-actuelle,0.0,210601217.0,['06230'],1476.0,7.33038055139131,43.6871252465904,saint-jean-cap-ferrat,,,
06122,Saint-Jeannet,0.0,metro,061,06,93,commune-actuelle,0.0,210601225.0,['06640'],4378.0,7.140564983901955,43.759021400514015,saint-jeannet,,,
