codePostal,libelleAcheminement,latitude,longitude,communesCount
31540,BELESTA EN LAURAGAIS,43.46343693773161,1.865001873372932,11
31530,BELLEGARDE STE MARIE,43.66905580704681,1.173209995750118,12
31480,BELLESSERRE,43.74506864722425,1.065775587858784,14
31660,BESSIERES,43.782769559667265,1.599635576121206,2
31350,BLAJAN,43.26108815305943,0.683119375387764,23
31390,BOIS DE LA PIERRE,43.30559082951139,1.20573327448339,7
31340,BONDIGOUX,43.83678147434434,1.528432390214577,8
31590,BONREPOS RIQUET,43.64848080774081,1.630902180183068,6
31470,BONREPOS SUR AUSSONNELLE,43.51496264605921,1.14687355812457,10
31620,BOULOC,43.788017726999506,1.41203420878871,9
31490,BRAX,43.60352032082311,1.2311776720729761,2
31150,BRUGUIERES,43.710944829739304,1.396052754313222,5
31330,LE BURGAUD,43.76102272212471,1.230496506581859,7
31560,CAIGNAC,43.3385571414982,1.6443629317401471,8
31410,CAPENS,43.36148299533124,1.281119869218619,10
31780,CASTELGINEST,43.69744631987398,1.435214430797308,1
31180,CASTELMAUROU,43.68367317725209,1.513684852039764,4
31430,CASTELNAU PICAMPEAU,43.311015303046325,1.025031037588393,14
31220,CAZERES,43.20290348076004,1.062868722708483,16
31810,CLERMONT LE FORT,43.44010416671943,1.443318095147845,3
31770,COLOMIERS,43.61172585814094,1.326977899029292,1
31270,CUGNAUX,43.530967430981924,1.334319921886032,3
31600,EAUNES,43.46261208026647,1.278929484223553,8
31750,ESCALQUENS,43.520794829950844,1.552756230460278,1
31120,GOYRANS,43.502628436927445,1.395928588712689,6
31860,LABARTHE SUR LEZE,43.46974297246919,1.391203071172754,3
31670,LABEGE,43.53875893349358,1.521638992362398,1
31820,PIBRAC,43.627723204316354,1.261244268523437,1
31830,PLAISANCE DU TOUCH,43.55752807022885,1.285693091026156,1
31520,RAMONVILLE ST AGNE,43.54398286579669,1.477532115833587,1
31250,REVEL,43.45183611995662,1.9980419498298332,3
31240,ST JEAN,43.6585606287765,1.4923245305700141,2
31790,ST JORY,43.74512917177273,1.37638778836351,2
31880,LA SALVETAT ST GILLES,43.575471838651715,1.266229530935211,1
31000,TOULOUSE,43.596012824333386,1.432101611424765,1
31100,TOULOUSE,43.596012824333386,1.432101611424765,1
31200,TOULOUSE,43.596012824333386,1.432101611424765,1
31300,TOULOUSE,43.596012824333386,1.432101611424765,1
31400,TOULOUSE,43.596012824333386,1.432101611424765,1
31500,TOULOUSE,43.596012824333386,1.432101611424765,1
31170,TOURNEFEUILLE,43.57833817825935,1.335052924153778,1
32290,AIGNAN,43.69011521394088,0.09541437800638701,10
32270,ANSAN,43.666916141516275,0.764763953477794,9
32360,ANTRAS,43.73981364454672,0.50802395271911,7
32720,ARBLADE LE BAS,43.69953857437817,-0.18994749811129502,4
32110,ARBLADE LE HAUT,43.75124137254752,-0.051279333502403004,16
32430,ARDIZAS,43.70504359673322,0.974419646567911,10
32230,ARMENTIEUX,43.528529923989275,0.170645555568951,22
32140,ARROUEDE,43.37826919458873,0.59332460238168,17
32000,AUCH,43.65327934509669,0.574878019682679,1
32120,AUGNAX,43.76812933650241,0.8258173614502541,18
32300,AUJAN MOURNEDE,43.46551630473414,0.440195145638611,31
32600,AURADE,43.60828862425883,1.065843031411907,10
32400,AURENSAN,43.64875780659639,-0.12189833007943501,24
32450,AURIMONT,43.53607851822014,0.7523284086085751,12
32550,AUTERIVE,43.589383724534656,0.6064500512144301,9
32170,AUX AUSSAT,43.415986266838885,0.32266664844679305,17
32380,AVEZAN,43.87691530433765,0.803921091886147,14
32410,AYGUETINTE,43.81388076809711,0.43343517976199203,6
32800,AYZIEU,43.855403178598685,0.097146945502757,8
32350,BARRAN,43.6530459280122,0.40743384108359604,7
32190,BASCOUS,43.7440967648669,0.272744564252967,20
32320,BASSOUES,43.59913248938706,0.29017718312391605,8
32160,BEAUMARCHES,43.60063110464057,0.045500644899054005,10
32100,BEAUMONT,43.93711158090559,0.392656405409647,11
32730,BECCAS,43.41383474840265,0.19119248555943902,6
32480,BERRAC,44.01196887242908,0.520227293868159,7
32420,BETCAVE AGUIN,43.41699049751869,0.7227212612004721,11
32130,BEZERIL,43.512461446404615,0.9622938138669951,13
32310,BEZOLLES,43.857573359548645,0.36054963165845205,7
32370,BOURROUILLAN,43.80562604317364,0.019516795083822,5
32500,BRUGNENS,43.84064060126159,0.657815055526349,12
32220,CADEILLAN,43.446407063745085,0.906639418004727,17
32250,CASTELNAU D AUZAN LABARRERE,43.96549273674619,0.17926252105430301,3
32440,CASTELNAU D AUZAN LABARRERE,43.95032635252878,0.10925044859730002,1
32700,CASTERA LECTOUROIS,43.97536347032628,0.597569351791811,11
32340,CASTET ARROUY,44.003387360046204,0.7674240386920741,7
32240,CASTEX D ARMAGNAC,43.8546933619396,-0.14913209228210902,10
32490,CASTILLON SAVES,43.584620108299745,0.9836992378797601,4
32810,CASTIN,43.69169751973839,0.619018808336774,7
32200,CATONVIELLE,43.61896348528534,0.8877507777880771,11
32150,CAZAUBON,43.91037690142542,-0.050305569144121,5
32330,COURRENSAN,43.88698289036239,0.253340430151388,5
32260,DURBAN,43.49721554115312,0.612765619095136,12
32390,GAVARRET SUR AULOUSTE,43.773490349270624,0.627960516728807,10
32460,LE HOUGA,43.77295750571915,-0.162541658081926,2
33230,ABZAC,45.05991462601256,-0.11157031815680601,12
33124,AILLAS,44.49551037757715,-0.13346758268508602,7
33440,AMBARES ET LAGRAVE,44.95879817516246,-0.505251876898655,3
33810,AMBES,45.01193522367669,-0.5504646107082241,1
33510,ANDERNOS LES BAINS,44.754381695642756,-1.080788506606646,1
33390,ANGLADE,45.160604001438436,-0.620701590774148,15
33640,ARBANATS,44.69530718537255,-0.450259710524183,6
33760,PORTE DE BENAUGE,44.72074110171631,-0.214989567019743,19
33120,ARCACHON,44.65385110107214,-1.174170998606388,1
33460,ARCINS,45.04615404849315,-0.6853565588988051,9
33740,ARES,44.79538411316901,-1.078692197759932,1
33370,ARTIGUES PRES BORDEAUX,44.84118794479185,-0.43677114349745405,8
33570,LES ARTIGUES DE LUSSAC,44.947591749329895,-0.0767818114742,11
33500,ARVEYRES,44.93309181998537,-0.22404341458248203,6
33240,ASQUES,44.99930336164808,-0.390984535062994,21
33430,AUBIAC,44.42808167880489,-0.20707226991830602,13
33980,AUDENGE,44.71431273901876,-0.9440622931789211,1
33790,AURIOLLES,44.745012492285824,0.058337690243751,8
33480,AVENSAN,45.02459939563545,-0.8418603118000021,6
33190,BAGAS,44.581579437615986,-0.040457605263625004,28
33730,BALIZAC,44.439340243912966,-0.36337000525322005,6
33750,BARON,44.839849183435874,-0.323538596607414,8
33114,LE BARP,44.6267117172847,-0.746774036940381,1
33720,BARSAC,44.60146753487405,-0.40033055099080606,9
33530,BASSENS,44.90820028101247,-0.525559504162887,1
33880,BAURECH,44.74056325504938,-0.44151652255899804,3
33710,BAYON SUR GIRONDE,45.06752474098782,-0.560831856385759,16
33340,BEGADAN,45.33002154907688,-0.8955648159984221,13
33130,BEGLES,44.801843597151155,-0.548262466026455,1
33410,BEGUEY,44.64368011435462,-0.285540827608223,12
33830,BELIN BELIET,44.48051462046609,-0.828832875642301,3
33350,BELVES DE CASTILLON,44.840845925058936,-0.041827529437165,20
33210,BIEUJAC,44.53960202342271,-0.24985205820605103,17
33380,BIGANOS,44.651935227942694,-0.9102321130902861,5
33290,BLANQUEFORT,44.953471046180944,-0.613549267060376,4
33540,BLASIMON,44.68236001785444,-0.08305001400152401,19
33670,BLESIGNAC,44.7746051494058,-0.33841766868947704,9
33910,BONZAC,45.01368457132196,-0.22963525740903,7
33000,BORDEAUX,44.85753607622351,-0.573444148760974,1
33100,BORDEAUX,44.85753607622351,-0.573444148760974,1
33200,BORDEAUX,44.85753607622351,-0.573444148760974,1
33300,BORDEAUX,44.85753607622351,-0.573444148760974,1
33800,BORDEAUX,44.85753607622351,-0.573444148760974,1
33270,BOULIAC,44.82528178857036,-0.512584607443297,2
33113,BOURIDEYS,44.408765852035934,-0.47124817834071203,5
33110,LE BOUSCAT,44.86595331659915,-0.603206821498106,1
33420,BRANNE,44.80986814036831,-0.19935455007439,18
33820,BRAUD ET ST LOUIS,45.27793053598617,-0.5916661635940741,7
33520,BRUGES,44.88883343271716,-0.600428099778561,1
33650,CABANAC ET VILLAGRAINS,44.663764039719474,-0.5393495932962901,7
33140,CADAUJAC,44.76447842544618,-0.548696754726509,3
33360,CAMBLANES ET MEYNAC,44.782780528081105,-0.47083884884995303,6
33660,CAMPS SUR L ISLE,45.01229999831786,5.4260490207079626e-05,7
33610,CANEJAN,44.73592807883049,-0.7038413509827891,3
